,text,BIO_anno,class,bank_topic
5150,那我这卡绑定还能用不？焦虑,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5151,对，消了卡，消了户，每个都单独销？注销麻烦不,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
5152,好像是，你看看上面没有销户两个字，户还开着呢，只不过就是零鸭蛋,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O,2,工商银行
5153,是，征信都是0额度，,O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5154,老哥??你的网贷账户是结清多久了征信显示结清的？打了结清证明吗？销户了吗？,O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,
5155,打个电话问问，这两张卡没有关户,O O O O O O O O O O O O O O O,2,工商银行
5156,3240，9675，这两张卡没有销户,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,工商银行
5157,不是还有34个账户么,O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5158,这个征信报告是哪里app查询看呢？,O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O,2,工商银行
5159,融E借借5000出来就可以调,O O O O O O O O O O O O O O,2,工商银行
5160,估计不影响，我去年办的工行房贷，办理之前首付还差点，就用了中信的新快现，分了12期，贷款也过了,O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT O O O,2,工商银行
5161,看银行要求，一般会需要你结清负债，如果只有这2万的话，可能也不管,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2,工商银行
5162,只有这两万，主要是提前结清利息全扣不划算,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,工商银行
5163,老哥分期了多少金额，我现在也是这种情况，担心不过,O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
5164,老哥，你贷款过了没？我也遇到这样的问题，信用卡有分期。,O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O,2,工商银行
5165,这个飞猪里程是定级里程么？需要84000的积分换7000，这样是不是就飞猪F4会员了？,O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O,2,工商银行
5166,不是定级，想屁吃呢,O O O O O O O O O,2,工商银行
5167,挺划算，招行经常做这样的活动,O O O O B-BANK I-BANK O O O O O O O O,2,
5168,7w额度还不错哈哈,O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
5169,优秀资质，工行有多少钻？,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
5170,客服给我提交了会短信1-7天给我发短信,O O O O O O O O O O O O O O O O O O O,2,工商银行
5171,我也是同样的问题，工商给我发短信了，提供流水，,O O O O O O O O O B-BANK I-BANK O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5172,不懂帮顶，这个不给会不会没法往下继续协商啊,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5173,你给了吗他们要几个月的流水啊,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5174,没说几个月，短信里就说提供流水或者其他的一些材料,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2,工商银行
5175,曲线成功了吗，额度这么优秀,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5176,有回访吗,O O O O,2,工商银行
5177,其实大妈额度高的话，普卡金卡最好用,O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5178,为什么呢？以后额度上来后，我也想升生肖白,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT,2,工商银行
5179,工行容易,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5180,白金卡无下限！,B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,
5181,工行公积金的作用比砖大,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,2,工商银行
5182,自讨没趣，直接网申就好了，何必去网点看他们无奈的眼神或者白眼呢。,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O,2,工商银行
5183,怎么操作容易呢,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5184,工行20年开户时间了。。。用的少,B-BANK I-BANK O O O O O O O O O O O O O O,2,工商银行
5185,网申就可以了，下个兴业的app,O O O O O O O O O B-BANK I-BANK O O O O,2,
5186,工行的白金就是额度不稳定,B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5187,4a都有可能，以上估计没了,O O O O O O O O O O O O O,2,工商银行
5188,什么卡可以？工商的大部分吧,O O O O O O B-BANK I-BANK O O O O O,2,
5189,工行不能，平安应该还有,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O O O,2,工商银行
5190,平安只有8连,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
5191,私行，钻石，白金，金卡可以让理财经理挑(但是最多也就是3A/4A连号)，普卡也是可以让理财帮忙挑，而且现在10连9连都不用想了，就说定制卡，9连沃德应该是可以(因为卡号数字...,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5192,9a也能挑出来,O O O O O O O,2,工商银行
5193,私行，钻石，白金，金卡可以让理财经理挑(但是最多也就是3A/4A连号)，普卡也是可以让理财帮忙挑，而且现在1...,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O,2,工商银行
5194,老哥历时几天，惊心动魄不,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
5195,优秀。同短信邀请，已开户半个月还没寄卡。电话问网点，被各种质疑：你是网申的吗？短信，是不是没填资料？一般一星期就到，是不是还没批？...,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5196,时间和你开户时间差不多一样,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
5197,棒?我还是没有动静?大妈更年期到了,B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2,工商银行
5198,优秀?有短信邀请，开户半个月了还没发卡?打电话给网点,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5199,这当然不是,O O O O O,2,工商银行
5200,分享配额，小白?,O O B-COMMENTS_N I-COMMENTS_N O O O O,2,工商银行
5201,不是说境外刷卡提额快么,O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O,2,工商银行
5202,境外只能用支付宝微信,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O,2,工商银行
5203,去境外办一个刷卡机,O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5204,把卡放家里让别人帮刷，这样额度也很快长起来,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O O O,2,
5205,支付宝微信能用信用卡付款吗,B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2,工商银行
5206,tx啊，不是消费,O O O O O O B-COMMENTS_N I-COMMENTS_N,2,工商银行
5207,我说的是国外都去了来几个真实消费提额会快很多,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5208,境外也有鸡？,O O O O O O,2,工商银行
5209,新人发文，需要您的多多支持与鼓励~请问3136以后，可以用jcb的,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5210,全借出来就能直接调,O O O O O O O O O,2,工商银行
5211,农行60k,B-BANK I-BANK O O O,2,工商银行
5212,全部借出来，然后调平,O O O O O O O O O O,2,工商银行
5213,我靠，你们好多钱，,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
5214,可以试试全部借出来，再调，调不了的就去下新卡,O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5215,怎么养的，我工行的没毕业就开始了,O O O O O O B-BANK I-BANK O O O O O O O O,2,
5216,借出来就可以调平了,O O O O O O O O O,2,工商银行
5217,山东并不是重灾区嘛,O O O O O O O O O,2,工商银行
5218,我万年不提的容易姐昨天看了也提额度了,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5219,https://bbs.51credit.com/thread-6526071-1-1.html,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5220,借出来在调平,O O O O O O,2,工商银行
5221,已调成功。谢谢大家,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
5222,借款秒到账吗？有打电话吗？借完立马可以调整额度？,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5223,您好，楼主有公积金吗,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2,工商银行
5224,大妈金卡和普卡多好，要白金卡干嘛,O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2,工商银行
5225,白金卡主要是哄小白的，聪明人都办大妈普卡金卡,B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT O O,2,工商银行
5226,上海大白金可以刷免，15笔就可以了,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O,2,工商银行
5227,那不更属于哄小孩的“白金”吗，15笔就刷免，能有什么权益,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,工商银行
5228,2次接送机，无限次贵宾室+10点龙腾，1次高端酒店免费住，1次高端酒店双人自助餐,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5229,visa数字简约白金卡办一张。,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,工商银行
5230,这个卡你办了么？,O O O O O O O O,2,工商银行
5231,同额菜卡，招行和浦发,O O O O O B-BANK I-BANK O B-BANK I-BANK,2,
5232,我一直等着提额，还是得试试电话提额，急用钱的时候临额也可以拿来应急下,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,工商银行
5233,上个月刚下，我还不急,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5234,从来不给他给我打电话的机会，账单日早晨就还款了,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5235,临时不用也罢，没啥意义,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5236,打电话怎么申请临额得？？？我也想试试,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2,工商银行
5237,就说申请提临时额度啊,O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5238,明天试试，最近查询多，感觉也不一定行,O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O,2,工商银行
5239,我也查询多，不差这一次了,O O O O B-COMMENTS_ADJ O O O O O O O,2,工商银行
5240,你申请了，多久收到提额短信，我刚才也申请了,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2,工商银行
5241,那电话还不用几分钟就通过了，多方便,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5242,卧槽，这么快，他还和我说一个礼拜左右呢，md,O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O,0,工商银行
5243,你确定你是工商的？我交通的说3个工作日,O O O O O B-BANK I-BANK O O O B-BANK I-BANK O O O O O O O,2,工商银行
5244,就是看你工商申请了，我也想尝试一下,O O O O B-BANK I-BANK O O O O O O O O O O O,2,工商银行
5245,临额还是不要用了,B-COMMENTS_N I-COMMENTS_N O O O O O O,2,工商银行
5246,香白,B-PRODUCT I-PRODUCT,2,工商银行
5247,年费怎么算？,B-COMMENTS_N I-COMMENTS_N O O O O,2,工商银行
5248,平安好车主白金卡_50k,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,工商银行
5249,024地区有没有业内人士能操作的？给个方便,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5250,只要肯花钱，这事好办的很，一般情况下中介都是收逾期账单金额的10%作为好处费，其他的他们帮你整理思路解决,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5251,我去。。。那不跟给银行利息一样么反正都是花钱,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2,工商银行
5252,我目前只有一张找了中介处理，其他卡实在连中介费都付不上，自己去银监局投诉尝试协商又协商不下来,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5253,停息挂账可以搞，教你啊,B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O,2,工商银行
5254,我的协商下来了，分了60期，分期还是很划算的,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
5255,是每期都要利息和分期费吧？,O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O,2,工商银行
5256,不用全部免息的还一笔少一笔,O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ O O,2,工商银行
5257,那你那边的工行太良心了我这里付全额利息都不给分期必须一次性还清要不就继续逾期头铁的很,O O O O O B-BANK I-BANK O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,工商银行
5258,可以，就是不能告诉司机和客服说给别人用,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,2,工商银行
5259,返现活动真的多,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5260,现在太严了,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5261,解了??柜台坐了一个小时叫我规范用卡不然下次只能销卡了,O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O,2,
5262,不出意外，你肯定钱到账立马转走，一直这样，招行效率还可以,O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5263,怎么解的，着急等,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
5264,等着。要把工商银行送给你，正商量着呢,O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O O O O,2,工商银行
5265,可能拒了，下个融E联看看，我跟你一样??融E联有拒的短信,O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O,2,
5266,复制一老哥的,O O O O O O,2,工商银行
5267,终于曲线提额了，8到15K，2018年到现在无聊曲线一下,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5268,都说看开点菜卡2000也是爱，可是谁不想拥有一个漂亮的额度,O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N,2,工商银行
5269,中信37k,B-BANK I-BANK O O O,2,
5270,多账户吗,O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5271,～不错,O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5272,额度可以，至于卡面，难看无比,B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5273,为了办一个融e借，花了55大洋工本费…,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O,2,工商银行
5274,能办下来的就不是事儿，很多地方都不给办了,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2,工商银行
5275,我这儿就不给办，说没有700k以上额度的资金流转是不给办u盾的，或者五星用户才可以免费办,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5276,跨省办,O O O,2,工商银行
5277,还能跨省办理？这不大可能吧,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5278,我这边收费40，双五星免费，我单6星也免费了,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5279,你的还好银行给办理u盾，我们这边的支行营业厅根本不给办这个，理由是你没有那么大额度的资金流转。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O,2,工商银行
5280,可以的。我浙江的卡，苏州办U盾。这又不冲突。,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2,
5281,020同，祖宗都要给你调查一遍，好像我要XQ一样，烦人,O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5282,直接说你要搞融e借，不给你算我输！,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ O,2,工商银行
5283,苏州银行给外地卡办盾吗？那个网点？,B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O,2,工商银行
5284,说了这个人家不给办啊，建议我半个白金卡一个月后就能用融e借了，额度通用,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O,2,工商银行
5285,浙江的工商与苏州的工商????什么苏州银行，你都搞错了,O O O B-BANK I-BANK O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O,2,
5286,没搞错是少打字了“苏州工商银行”可以给外地工商卡办盾是苏州那个工商网点？,O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5287,就说有时候需要转账用！,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,工商银行
5288,10万以内好像不需要u盾,O O O O O O O O O O O O,2,工商银行
5289,简单的说，就是外地的卡可以到另外一个城市办盾，这个不冲突。,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5290,还有我觉得苏州的银行都很多事，各种刁难外地人,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0,工商银行
5291,我黑龙江的卡五一时候去山东办激活开手机银行都可以，建行有一张卡当年忘加挂手机银行了，回苏州建行网点告诉我要居住证明，工作证明，社保证明才能开，就连加挂都等同于...,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5292,但限额严重啊，有密码器的时候还月限五万、日限两万呢，有了盾，大堂告诉我说有了这个日限500w，让我妥善保管,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
5293,唉，看个人运气。可能还得看你的身份证是哪里人,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O,2,工商银行
5294,见图,O O,2,工商银行
5295,另外就是我2W的额度，其中我用了1.5W的融E借，如果没占用融e借的话，可能会被砍的更多,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O,2,工商银行
5296,塞翁失马啊，挺好,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5297,办理分期一样降额，我办理了12期第二天4万降额1千,O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O,2,工商银行
5298,不是撸狠了，应该是你融E借出来的资金用途违反规定了，我用来还信用卡了，5,O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2,工商银行
5299,机关单位入职一年了大妈代发公积金社保齐全,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,工商银行
5300,会下的，只是额度的问题,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,
5301,海淀支行问了，黑财富要6星，机器上有；香白也没水，过的还是个人征信有所改善。,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5302,好好开发，她身上之前有20w额度,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,工商银行
5303,不是十万的吗，下卡,O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,工商银行
5304,我也在开发老婆的额度来用嘿嘿,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,工商银行
5305,下点十万？想什么呢，那得多少砖的资质,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,工商银行
5306,无界不好用了，有什么好办法。二维码限额了。上个月有动物可以1万。然后都被限了。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5307,简直就是厉害了,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5308,买点理财基金就好快了,O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5309,6.67E+23,O O O O O O O O,2,
5310,没砖啊，就算买几个砖也没什么作用吧，还不如放弃,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5311,有无界再申个实体不就好了,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5312,别人秀卡，你们秀老婆，过分,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
5313,试了三次没下，算了不强求。,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5314,有，来回买，你的流水就非常多了,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
5315,啊？还可以这样啊，不知道耶，一般多久来回一次？,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,工商银行
5316,啊？这话说的不知怎样接好，哈，没秀老婆，秀老婆的卡而已,O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O,2,工商银行
5317,记得给老婆还，多好,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5318,星期一买添利宝或者e灵通设置星期五赎回，再买一天通知存款到星期一，甘样来回倒,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5319,带老婆下水，是不是坑人,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
5320,本来下不了就够扎心了，你还提醒我是一只单身汪，doublekill,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
5321,不错，老婆的额度已经开发到十万，广发民生兴业农行工商建设，不申请了，养额度。,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-BANK I-BANK B-BANK I-BANK B-BANK I-BANK B-BANK I-BANK B-BANK I-BANK B-BANK I-BANK O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
5322,哦哦，好的，明白啦，谢谢啦，安心了,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
